#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:27:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551eab8420f3	
#INFO	-out.max=9999	
#INFO	queryParameters=16	
#-oc.form=sexa
#-out.max=9999
#-out.add=_RAJ,_DEJ
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=Vmag
#Vmag=<4
#-out=SAO
#-out=HD
#-out=BFno
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	_RAJ2000	(A12)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A12)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	SAO	(I6)	? SAO number (Cat. I/131) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	BFno	(a9)	Bayer or Flamsteed number	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
_RAJ2000	_DEJ2000	Vmag	SAO	HD	BFno	name
01 44 04.091	-15 56 14.89	 3.50	147986	 10700	TAU  CET 	
01 51 27.640	-10 20 06.20	 3.73	148059	 11353	ZET  CET 	BATEN KAITOS
01 53 04.905	+29 34 43.82	 3.41	 74996	 11443	ALP  TRI 	
01 54 23.711	+63 40 12.28	 3.38	 12031	 11415	EPS  CAS 	
01 54 38.401	+20 48 28.82	 2.64	 75012	 11636	BET  ARI 	SHERATAN
01 55 57.488	-51 36 31.99	 3.70	232573	 11937	CHI  ERI 	
01 58 46.201	-61 34 11.43	 2.86	248474	 12311	ALP  HYI 	
02 03 26.088	+72 25 16.69	 3.98	  4560	 12216	50   CAS 	
02 03 53.963	+42 19 46.99	 2.26	 37734	 12533	GAM1 AND 	ALMACH
02 07 10.403	+23 27 44.66	 2.00	 75151	 12929	ALP  ARI 	HAMAL
02 09 32.625	+34 59 14.24	 3.00	 55306	 13161	BET  TRI 	
02 16 30.603	-51 30 44.04	 3.56	232696	 14228	PHI  ERI 	
02 31 48.704	+89 15 50.72	 2.02	   308	  8890	ALP  UMI 	POLARIS
02 49 59.029	+27 15 37.81	 3.63	 75596	 17573	41   ARI 	
02 50 41.811	+55 53 43.80	 3.76	 23655	 17506	ETA  PER 	
02 54 15.457	+52 45 44.95	 3.95	 23685	 17878	TAU  PER 	
02 56 25.651	-08 53 53.40	 3.89	130197	 18322	ETA  ERI 	AZHA
02 58 15.696	-40 18 16.97	 3.25	216113	 18622	THE1 ERI 	ACAMAR
03 02 16.773	+04 05 22.93	 2.53	110920	 18884	ALP  CET 	MENKAR
03 04 47.791	+53 30 23.29	 2.93	 23789	 18925	GAM  PER 	
03 05 10.593	+38 50 25.01	 3.30	 56138	 19058	RHO  PER 	
03 08 10.131	+40 57 20.43	 2.10	 38592	 19356	BET  PER 	ALGOL
03 24 19.365	+49 51 40.34	 1.79	 38787	 20902	ALP  PER 	MIRFAK
03 24 48.800	+09 01 43.87	 3.60	111172	 21120	OMI  TAU 	
03 27 10.158	+09 43 57.73	 3.74	111195	 21364	XI   TAU 	
03 32 55.846	-09 27 29.72	 3.73	130564	 22049	EPS  ERI 	
03 42 55.497	+47 47 15.30	 3.01	 39053	 22928	DEL  PER 	
03 43 14.903	-09 45 48.25	 3.54	130686	 23249	DEL  ERI 	
03 44 11.982	-64 48 25.07	 3.85	248877	 23817	BET  RET 	
03 44 52.532	+24 06 48.01	 3.70	 76131	 23302	17   TAU 	ELECTRA
03 45 11.633	+42 34 42.70	 3.77	 39078	 23230	NU   PER 	
03 47 14.318	-74 14 20.27	 3.24	256029	 24512	GAM  HYI 	
03 47 29.073	+24 06 18.38	 2.87	 76199	 23630	ETA  TAU 	ALCYONE
03 49 09.739	+24 03 12.24	 3.63	 76228	 23850	27   TAU 	ATLAS
03 54 07.922	+31 53 01.01	 2.85	 56799	 24398	ZET  PER 	ATIK
03 57 51.227	+40 00 36.72	 2.89	 56840	 24760	EPS  PER 	
03 58 01.763	-13 30 30.71	 2.95	149283	 25025	GAM  ERI 	ZAURAK
04 00 40.819	+12 29 25.24	 3.47	 93719	 25204	LAM  TAU 	
04 03 09.377	+05 59 21.48	 3.91	111579	 25490	NU   TAU 	
04 14 00.126	-42 17 40.00	 3.86	216710	 26967	ALP  HOR 	
04 14 25.488	-62 28 25.85	 3.35	248969	 27256	ALP  RET 	
04 19 47.603	+15 37 39.41	 3.65	 93868	 27371	GAM  TAU 	
04 22 56.090	+17 32 32.98	 3.76	 93897	 27697	DEL1 TAU 	
04 24 02.213	-34 01 00.76	 3.96	194984	 28028	43   ERI 	
04 28 36.997	+19 10 49.46	 3.54	 93954	 28305	EPS  TAU 	
04 33 59.781	-55 02 42.21	 3.27	233564	 29305	ALP  DOR 	
04 35 33.044	-30 33 44.42	 3.82	195148	 29291	UPS2 ERI 	
04 35 55.237	+16 30 33.39	 0.85	 94027	 29139	ALP  TAU 	ALDEBARAN
04 36 19.138	-03 21 08.89	 3.93	131346	 29248	NU   ERI 	
04 38 10.809	-14 18 14.13	 3.87	149781	 29503	53   ERI 	
04 49 50.414	+06 57 40.54	 3.19	112106	 30652	PI3  ORI 	
04 51 12.362	+05 36 18.31	 3.69	112142	 30836	PI4  ORI 	
04 54 15.089	+02 26 26.34	 3.72	112197	 31237	PI5  ORI 	
04 56 59.617	+33 09 57.93	 2.69	 57522	 31398	IOT  AUR 	
05 01 58.133	+43 49 23.83	 2.90	 39955	 31964	EPS  AUR 	
05 02 28.685	+41 04 32.96	 3.75	 39966	 32068	ZET  AUR 	
05 05 27.662	-22 22 15.80	 3.19	170051	 32887	EPS  LEP 	
05 06 30.886	+41 14 04.15	 3.17	 40026	 32630	ETA  AUR 	
05 07 50.972	-05 05 11.23	 2.79	131794	 33111	BET  ERI 	CURSA
05 12 55.886	-16 12 19.97	 3.31	150237	 33904	MU   LEP 	
05 14 32.268	-08 12 05.98	 0.12	131907	 34085	BET  ORI 	RIGEL
05 16 41.353	+45 59 52.90	 0.08	 40186	 34029	ALP  AUR 	CAPELLA
05 17 36.388	-06 50 39.86	 3.60	131952	 34503	TAU  ORI 	
05 25 07.857	+06 20 58.74	 1.64	112740	 35468	GAM  ORI 	BELLATRIX
05 26 17.511	+28 36 26.67	 1.65	 77168	 35497	BET  TAU 	ELNATH
05 28 14.720	-20 45 34.09	 2.84	170457	 36079	BET  LEP 	NIHAL
05 32 00.398	-00 17 56.88	 2.23	132220	 36486	DEL  ORI 	MINTAKA
05 32 43.802	-17 49 20.26	 2.58	150547	 36673	ALP  LEP 	ARNEB
05 33 37.514	-62 29 23.48	 3.48	249311	 37350	BET  DOR 	
05 35 25.974	-05 54 35.61	 2.77	132323	 37043	IOT  ORI 	
05 36 12.809	-01 12 07.02	 1.70	132346	 37128	EPS  ORI 	ALNILAM
05 37 38.681	+21 08 33.06	 3.00	 77336	 37202	ZET  TAU 	
05 39 38.947	-34 04 27.01	 2.64	196059	 37795	ALP  COL 	PHACT
05 44 27.784	-22 26 54.31	 3.60	170759	 38393	GAM  LEP 	
05 46 57.332	-14 49 19.12	 3.55	150801	 38678	ZET  LEP 	
05 47 45.387	-09 40 10.75	 2.06	132542	 38771	KAP  ORI 	SAIPH
05 50 57.594	-35 46 06.19	 3.12	196240	 39425	BET  COL 	WAZN
05 51 19.286	-20 52 44.89	 3.81	170926	 39364	DEL  LEP 	
05 51 29.388	+39 08 54.56	 3.97	 58502	 39003	NU   AUR 	
05 55 10.307	+07 24 25.35	 0.40	113271	 39801	ALP  ORI 	BETELGEUSE
05 56 24.288	-14 10 03.87	 3.71	150957	 40136	ETA  LEP 	
05 59 08.806	-42 48 54.83	 3.96	217650	 40808	ETA  COL 	
05 59 31.632	+54 17 04.95	 3.72	 25502	 40035	DEL  AUR 	
05 59 31.720	+44 56 50.78	 1.90	 40750	 40183	BET  AUR 	MENKALINAN
06 20 18.792	-30 03 48.26	 3.02	196698	 44402	ZET  CMA 	FURUD
06 22 41.969	-17 57 21.37	 1.98	151428	 44743	BET  CMA 	MIRZAM
06 22 57.621	+22 30 48.79	 2.88	 78297	 44478	MU   GEM 	
06 23 57.119	-52 41 44.50	-0.72	234480	 45348	ALP  CAR 	CANOPUS
06 37 42.725	+16 23 57.43	 1.93	 95912	 47105	GAM  GEM 	ALHENA
06 37 45.673	-43 11 45.50	 3.17	218071	 47670	NU   PUP 	
06 43 55.923	+25 07 51.91	 2.98	 78682	 48329	EPS  GEM 	MEBSUTA
06 45 08.871	-16 42 57.99	-1.46	151881	 48915	ALP  CMA 	SIRIUS
06 45 17.362	+12 53 44.02	 3.36	 96074	 48737	XI   GEM 	
06 48 11.437	-61 56 28.95	 3.27	249647	 50241	ALP  PIC 	
06 49 50.456	-32 30 30.60	 3.96	197258	 50013	KAP  CMA 	
06 49 56.173	-50 36 52.73	 2.93	234735	 50310	TAU  PUP 	
06 52 47.337	+33 57 40.44	 3.60	 59570	 50019	THE  GEM 	
06 58 37.548	-28 58 19.50	 1.50	172676	 52089	EPS  CMA 	ADHARA
07 01 43.148	-27 56 05.45	 3.47	172797	 52877	SIG  CMA 	
07 03 01.462	-23 49 59.96	 3.02	172839	 53138	OMI2 CMA 	
07 04 06.522	+20 34 13.00	 3.79	 79031	 52973	ZET  GEM 	
07 08 23.480	-26 23 35.55	 1.86	173047	 54605	DEL  CMA 	
07 08 44.877	-70 29 56.34	 3.78	256374	 55865	GAM2 VOL 	
07 16 49.803	-67 57 26.03	 3.98	249809	 57623	DEL  VOL 	
07 17 08.554	-37 05 51.08	 2.70	197795	 56855	PI   PUP 	
07 18 05.572	+16 32 25.31	 3.58	 96746	 56537	LAM  GEM 	
07 20 07.367	+21 58 56.29	 3.53	 79294	 56986	DEL  GEM 	WASAT
07 24 05.699	-29 18 11.23	 2.45	173651	 58350	ETA  CMA 	ALUDRA
07 25 43.594	+27 47 52.98	 3.79	 79374	 58207	IOT  GEM 	
07 27 09.039	+08 17 21.50	 2.90	115456	 58715	BET  CMI 	GOMEISA
07 29 13.847	-43 18 05.30	 3.25	218755	 59717	SIG  PUP 	
07 34 35.997	+31 53 18.53	 1.95	 60198	 60178	ALP  GEM 	CASTOR
07 39 18.113	+05 13 30.06	 0.38	115756	 61421	ALP  CMI 	PROCYON
07 41 14.835	-09 33 04.19	 3.93	134986	 61935	ALP  MON 	
07 41 49.235	-72 36 21.84	 3.95	256438	 63295	ZET  VOL 	
07 44 26.844	+24 23 52.72	 3.57	 79653	 62345	KAP  GEM 	
07 45 18.946	+28 01 34.26	 1.14	 79666	 62509	BET  GEM 	POLLUX
07 49 17.655	-24 51 35.31	 3.34	174601	 63700	XI   PUP 	
07 52 13.039	-40 34 33.10	 3.73	219082	 64440	         	
07 56 46.707	-52 58 56.43	 3.47	235635	 65575	CHI  CAR 	
08 03 35.052	-40 00 11.64	 2.25	198752	 66811	ZET  PUP 	
08 07 32.645	-24 18 15.45	 2.81	175217	 67523	RHO  PUP 	
08 09 31.965	-47 20 11.91	 1.78	219504	 68273	GAM  VEL 	
08 16 30.928	+09 11 07.90	 3.52	116569	 69267	BET  CNC 	
08 22 30.833	-59 30 34.51	 1.86	235932	 71129	EPS  CAR 	AVIOR
08 25 39.628	-03 54 23.15	 3.90	135896	 71155	         	
08 25 44.194	-66 08 13.02	 3.77	250228	 71878	BET  VOL 	
08 30 15.870	+60 43 05.44	 3.36	 14573	 71369	OMI  UMA 	MUSCIDA
08 40 17.594	-52 55 19.10	 3.62	236164	 74195	OMI  VEL 	
08 40 37.594	-46 38 55.57	 3.84	220265	 74180	         	
08 43 35.545	-33 11 11.02	 3.68	199546	 74575	ALP  PYX 	
08 44 41.097	+18 09 15.45	 3.94	 98087	 74442	DEL  CNC 	ASELLUS AUSTRALIS
08 55 02.832	-60 38 40.74	 3.84	250374	 76728	         	
08 55 23.629	+05 56 43.88	 3.11	117264	 76294	ZET  HYA 	
08 59 12.442	+48 02 30.09	 3.14	 42630	 76644	IOT  UMA 	TALITHA
09 00 38.390	+41 46 57.98	 3.97	 42642	 76943	         	
09 03 37.527	+47 09 23.56	 3.60	 42661	 77327	KAP  UMA 	
09 04 09.291	-47 05 52.00	 3.75	220803	 78004	         	
09 07 59.776	-43 25 57.38	 2.21	220878	 78647	LAM  VEL 	
09 13 11.957	-69 43 01.95	 1.68	250495	 80007	BET  CAR 	MIAPLACIDUS
09 14 21.870	+02 18 51.23	 3.88	117527	 79469	THE  HYA 	
09 17 05.404	-59 16 31.04	 2.25	236808	 80404	IOT  CAR 	ASPIDISKE
09 21 03.303	+34 23 33.19	 3.13	 61414	 80493	ALP  LYN 	
09 22 06.828	-55 00 38.60	 2.50	236891	 81188	KAP  VEL 	
09 27 35.247	-08 39 31.15	 1.98	136871	 81797	ALP  HYA 	ALPHARD
09 31 13.321	-57 02 03.85	 3.13	237067	 82668	         	
09 31 31.716	+63 03 42.70	 3.67	 14908	 81937	23   UMA 	
09 32 51.412	+51 40 38.38	 3.17	 27289	 82328	THE  UMA 	
09 39 51.364	-01 08 34.37	 3.91	137035	 83618	IOT  HYA 	
09 41 09.038	+09 53 32.29	 3.52	 98709	 83808	OMI  LEO 	
09 45 14.804	-62 30 28.49	 3.40	250683	 84810	         	
09 45 51.071	+23 46 27.21	 2.98	 81004	 84441	EPS  LEO 	
09 50 59.366	+59 02 19.45	 3.80	 27401	 84999	UPS  UMA 	
09 52 45.819	+26 00 24.92	 3.88	 81064	 85503	MU   LEO 	RASALAS
09 56 51.756	-54 34 04.15	 3.54	237522	 86440	PHI  VEL 	
10 07 19.952	+16 45 45.54	 3.52	 98955	 87737	ETA  LEO 	
10 08 22.315	+11 58 01.89	 1.35	 98967	 87901	ALP  LEO 	REGULUS
10 10 35.282	-12 21 14.72	 3.61	155785	 88284	LAM  HYA 	
10 13 44.198	-70 02 16.56	 3.32	250885	 89080	OMG  CAR 	
10 14 44.169	-42 07 19.34	 3.85	221895	 88955	         	
10 16 41.409	+23 25 02.26	 3.44	 81265	 89025	ZET  LEO 	ADHAFERA
10 17 04.976	-61 19 56.39	 3.40	250905	 89388	         	q CAR
10 17 05.796	+42 54 51.81	 3.45	 43268	 89021	LAM  UMA 	TANIA BOREALIS
10 22 19.742	+41 29 58.26	 3.05	 43310	 89758	MU   UMA 	TANIA AUSTRALIS
10 26 05.430	-16 50 10.85	 3.81	155980	 90432	MU   HYA 	
10 27 52.727	-58 44 22.10	 3.82	238085	 90853	         	
10 32 01.443	-61 41 07.33	 3.32	251006	 91465	         	
10 32 48.671	+09 18 23.66	 3.85	118355	 91316	RHO  LEO 	
10 42 57.368	-64 23 40.08	 2.76	251083	 93030	THE  CAR 	
10 49 37.494	-16 11 37.26	 3.11	156256	 93813	NU   HYA 	
10 53 18.700	+34 12 53.54	 3.83	 62297	 94264	46   LMI 	
11 01 50.482	+56 22 56.65	 2.37	 27876	 95418	BET  UMA 	MERAK
11 03 43.666	+61 45 03.22	 1.79	 15384	 95689	ALP  UMA 	DUBHE
11 08 35.374	-58 58 30.24	 3.91	238813	 96918	         	
11 09 39.798	+44 29 54.60	 3.01	 43629	 96833	PSI  UMA 	
11 14 06.495	+20 31 25.30	 2.56	 81727	 97603	DEL  LEO 	ZOSMA
11 14 14.401	+15 25 46.36	 3.34	 99512	 97633	THE  LEO 	CHERTAN
11 18 28.738	+33 05 39.44	 3.48	 62486	 98262	NU   UMA 	ALULA BOREALIS
11 19 20.453	-14 46 42.83	 3.56	156605	 98430	DEL  CRT 	
11 21 00.425	-54 29 27.82	 3.89	238986	 98718	PI   CEN 	
11 31 24.248	+69 19 51.87	 3.84	 15532	100029	LAM  DRA 	GIAUSAR
11 33 00.128	-31 51 27.51	 3.54	202558	100407	XI   HYA 	
11 35 46.845	-63 01 11.32	 3.13	251472	100841	LAM  CEN 	
11 45 36.386	-66 43 43.47	 3.64	251575	102249	LAM  MUS 	
11 46 03.018	+47 46 45.90	 3.71	 43886	102224	CHI  UMA 	
11 49 03.580	+14 34 19.35	 2.14	 99809	102647	BET  LEO 	DENEBOLA
11 50 41.722	+01 45 52.86	 3.61	119076	102870	BET  VIR 	ZAVIJAVA
11 53 49.836	+53 41 41.13	 2.44	 28179	103287	GAM  UMA 	PHECDA
12 08 21.515	-50 43 20.74	 2.60	239689	105435	DEL  CEN 	
12 10 07.485	-22 37 11.15	 3.00	180531	105707	EPS  CRV 	
12 15 08.683	-58 44 56.08	 2.80	239791	106490	DEL  CRU 	
12 15 25.560	+57 01 57.42	 3.31	 28315	106591	DEL  UMA 	MEGREZ
12 15 48.366	-17 32 30.97	 2.59	157176	106625	GAM  CRV 	GIENAH
12 19 54.358	-00 40 00.51	 3.89	138721	107259	ETA  VIR 	ZANIAH
12 26 35.871	-63 05 56.58	 1.33	251904	108248	ALP1 CRU 	ACRUX
12 28 02.389	-50 13 50.47	 3.91	223454	108483	SIG  CEN 	
12 29 51.855	-16 30 55.57	 2.95	157323	108767	DEL  CRV 	ALGORAB
12 31 09.929	-57 06 47.50	 1.63	240019	108903	GAM  CRU 	GACRUX
12 32 27.960	-72 07 58.64	 3.87	256955	109026	GAM  MUS 	
12 33 28.952	+69 47 17.62	 3.87	  7593	109387	KAP  DRA 	
12 34 23.238	-23 23 48.31	 2.65	180915	109379	BET  CRV 	
12 37 10.958	-69 08 07.96	 2.69	251974	109668	ALP  MUS 	
12 47 43.237	-59 41 19.46	 1.25	240259	111123	BET  CRU 	
12 54 01.748	+55 57 35.47	 1.77	 28553	112185	EPS  UMA 	ALIOTH
12 55 36.213	+03 23 50.75	 3.38	119674	112300	DEL  VIR 	
12 56 01.664	+38 19 06.21	 2.90	 63257	112413	ALP2 CVN 	COR CAROLI
13 02 10.602	+10 57 32.88	 2.83	100384	113226	EPS  VIR 	VINDEMIATRIX
13 02 16.217	-71 32 55.88	 3.62	257000	112985	DEL  MUS 	
13 18 55.293	-23 10 17.66	 3.00	181543	115659	GAM  HYA 	
13 20 35.822	-36 42 44.32	 2.75	204371	115892	IOT  CEN 	
13 23 55.539	+54 55 31.38	 2.27	 28737	116656	ZET  UMA 	MIZAR
13 25 11.587	-11 09 40.71	 0.98	157923	116658	ALP  VIR 	SPICA
13 34 41.585	-00 35 45.39	 3.37	139420	118098	ZET  VIR 	
13 39 53.246	-53 27 58.99	 2.30	241047	118716	EPS  CEN 	
13 47 32.434	+49 18 47.95	 1.86	 44752	120315	ETA  UMA 	ALKAID
13 49 36.993	-42 28 25.53	 3.04	224471	120324	MU   CEN 	
13 54 41.074	+18 23 51.72	 2.68	100766	121370	ETA  BOO 	MUPHRID
13 55 32.388	-47 17 18.12	 2.55	224538	121263	ZET  CEN 	
14 03 49.408	-60 22 22.79	 0.61	252582	122451	BET  CEN 	
14 04 23.341	+64 22 33.05	 3.65	 16273	123299	ALP  DRA 	THUBAN
14 06 22.300	-26 40 56.52	 3.27	182244	123123	PI   HYA 	
14 06 40.951	-36 22 12.03	 2.06	205188	123139	THE  CEN 	MENKENT
14 15 39.677	+19 10 56.71	-0.04	100944	124897	ALP  BOO 	ARCTURUS
14 31 49.792	+30 22 17.12	 3.58	 64202	127665	RHO  BOO 	
14 32 04.674	+38 18 29.74	 3.03	 64203	127762	GAM  BOO 	SEGINUS
14 35 30.429	-42 09 28.39	 2.31	225044	127972	ETA  CEN 	
14 39 35.885	-60 50 07.44	 0.00	252838	128620	ALP  CEN 	RIGEL KENTAURUS
14 41 55.768	-47 23 17.51	 2.30	225128	129056	ALP  LUP 	
14 42 30.408	-64 58 30.51	 3.19	252852	 19771	ALP  CIR 	
14 43 03.629	-05 39 29.56	 3.88	140090	129502	MU   VIR 	
14 46 14.935	+01 53 34.16	 3.72	120648	130109	109  VIR 	
14 47 51.638	-79 02 41.15	 3.83	257193	129078	ALP  APS 	
14 50 42.346	+74 09 19.78	 2.08	  8102	131873	BET  UMI 	KOCHAB
14 50 52.713	-16 02 30.42	 2.75	158840	130841	ALP2 LIB 	ZUBENELGENUBI
14 58 31.929	-43 08 02.40	 2.68	225335	132058	BET  LUP 	
14 59 09.691	-42 06 15.37	 3.13	225344	132200	KAP  CEN 	
15 01 56.757	+40 23 26.10	 3.50	 45337	133208	BET  BOO 	NEKKAR
15 04 04.218	-25 16 55.12	 3.29	183139	133216	SIG  LIB 	
15 11 56.081	-48 44 16.29	 3.87	225525	134481	KAP   LUP	
15 12 17.106	-52 05 57.38	 3.41	242304	134505	ZET  LUP 	
15 15 30.170	+33 18 53.30	 3.47	 64589	135722	DEL  BOO 	
15 17 00.421	-09 22 58.54	 2.61	140430	135742	BET  LIB 	ZUBENESCHAMALI
15 18 54.551	-68 40 46.38	 2.89	253097	135382	GAM  TRA 	
15 20 43.713	+71 50 02.49	 3.05	  8220	137422	GAM  UMI 	PHERKAD
15 21 22.330	-40 38 51.39	 3.22	225691	136298	DEL   LUP	
15 21 48.377	-36 15 41.03	 3.56	206552	136422	PHI1 LUP 	
15 24 55.763	+58 57 57.83	 3.29	 29520	137759	IOT  DRA 	EDASICH
15 27 49.739	+29 06 20.59	 3.68	 83831	137909	BET  CRB 	NUSAKAN
15 34 41.276	+26 42 52.94	 2.23	 83893	139006	ALP  CRB 	ALPHECCA
15 35 31.579	-14 47 22.40	 3.91	159370	138905	GAM  LIB 	
15 37 01.463	-28 08 06.15	 3.58	183619	139063	UPS  LIB 	
15 44 16.087	+06 25 32.31	 2.65	121157	140573	ALP  SER 	UNUKALHAI
15 46 11.262	+15 25 18.56	 3.67	101725	141003	BET  SER 	
15 49 37.225	-03 25 48.81	 3.54	140787	141513	MU   SER 	
15 50 48.970	+04 28 39.84	 3.71	121218	141795	EPS  SER 	
15 50 57.538	-33 37 37.84	 3.95	207040	141556	CHI  LUP 	
15 55 08.547	-63 25 50.37	 2.85	253346	141891	BET  TRA 	
15 56 27.187	+15 39 41.88	 3.85	101826	142860	GAM  SER 	
15 58 51.120	-26 06 50.75	 2.89	183987	143018	PI   SCO 	
16 00 20.008	-22 37 18.04	 2.32	184014	143275	DEL  SCO 	
16 05 26.233	-19 48 19.50	 2.62	159682	144217	BET1 SCO 	GRAFFIAS
16 14 20.743	-03 41 39.55	 2.74	141052	146051	DEL  OPH 	YED PRIOR
16 15 26.268	-63 41 08.31	 3.85	253474	145544	DEL  TRA 	
16 18 19.290	-04 41 32.99	 3.24	141086	146791	EPS  OPH 	YED POSTERIOR
16 19 44.440	+46 18 48.21	 3.89	 46028	147394	TAU  HER 	
16 21 11.317	-25 35 34.17	 2.89	184336	147165	SIG  SCO 	
16 21 55.216	+19 09 11.20	 3.75	102107	147547	GAM  HER 	
16 29 24.439	-26 25 55.15	 0.90	184415	148478	ALP  SCO 	ANTARES
16 30 13.201	+21 29 22.56	 2.77	 84411	148856	BET  HER 	KORNEPHOROS
16 33 27.043	-78 53 49.66	 3.89	257407	147675	GAM  APS 	
16 35 52.960	-28 12 57.72	 2.82	184481	149438	TAU  SCO 	
16 37 09.542	-10 34 01.56	 2.56	160006	149757	ZET  OPH 	
16 42 53.772	+38 55 20.30	 3.53	 65504	150997	ETA  HER 	
16 48 39.869	-69 01 39.82	 1.92	253700	150798	ALP  TRA 	ATRIA
